play_id,game_id,posteam,defteam,side_of_field,yardline_100,down,yrdln,ydstogo,play_type,yards_gained,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,epa,wp,def_wp,home_wp,away_wp,fumble_forced,fumble_out_of_bounds,safety,penalty,tackled_for_loss,fumble_lost,touchdown,pass_touchdown,rush_touchdown,return_touchdown,field_goal_attempt,fumble,passing_yards,receiving_yards,rushing_yards,fixed_drive_result,drive_time_of_possession,drive_end_transition,qb_epa
1,2024_01_ARI_BUF,,,,,,BUF 35,0,,,,,,,,,,,,,,0,0.433207959,0.566792041,0.566792041,0.433207959,,,,,,,,,,,,,,,,Touchdown,,,0
40,2024_01_ARI_BUF,ARI,BUF,BUF,35,,BUF 35,0,kickoff,0,,,,,,,0,0,0,0,0,0.257819156,0.433207959,0.566792041,0.566792041,0.433207959,0,0,0,0,0,0,0,0,0,0,0,0,,,,Touchdown,7:13,TOUCHDOWN,0.257819156
61,2024_01_ARI_BUF,ARI,BUF,ARI,70,1,ARI 30,10,run,3,,,,,middle,,0,0,0,0,0,-0.200602158,0.433546245,0.566453755,0.566453755,0.433546245,0,0,0,0,0,0,0,0,0,0,0,0,,,3,Touchdown,7:13,TOUCHDOWN,-0.200602158
83,2024_01_ARI_BUF,ARI,BUF,ARI,67,2,ARI 33,7,pass,22,short,left,-3,25,,,0,0,0,0,0,2.0288739,0.426275879,0.573724121,0.573724121,0.426275879,0,0,0,0,0,0,0,0,0,0,0,0,22,22,,Touchdown,7:13,TOUCHDOWN,2.0288739
108,2024_01_ARI_BUF,ARI,BUF,BUF,45,1,BUF 45,10,pass,9,short,middle,2,7,,,0,0,0,0,0,0.754242304,0.480117887,0.519882113,0.519882113,0.480117887,0,0,0,0,0,0,0,0,0,0,0,0,9,9,,Touchdown,7:13,TOUCHDOWN,0.754242304
133,2024_01_ARI_BUF,ARI,BUF,BUF,36,2,BUF 36,1,run,2,,,,,middle,,0,0,0,0,0,-0.02960193,0.534612656,0.465387344,0.465387344,0.534612656,0,0,0,0,0,0,0,0,0,0,0,0,,,2,Touchdown,7:13,TOUCHDOWN,-0.02960193
155,2024_01_ARI_BUF,ARI,BUF,BUF,34,1,BUF 34,10,run,2,,,,,left,guard,0,0,0,0,0,-0.247748838,0.53041178,0.46958822,0.46958822,0.53041178,0,0,0,0,0,0,0,0,0,0,0,0,,,2,Touchdown,7:13,TOUCHDOWN,-0.247748838
177,2024_01_ARI_BUF,ARI,BUF,BUF,32,2,BUF 32,8,run,2,,,,,left,end,0,0,0,0,0,-0.530138513,0.514886498,0.485113502,0.485113502,0.514886498,0,0,0,0,0,0,0,0,0,0,0,0,,,2,Touchdown,7:13,TOUCHDOWN,-0.530138513
199,2024_01_ARI_BUF,ARI,BUF,BUF,30,3,BUF 30,6,pass,8,short,middle,6,2,,,0,0,0,0,0,1.680800255,0.495035946,0.504964054,0.504964054,0.495035946,0,0,0,0,0,0,0,0,0,0,0,0,8,8,,Touchdown,7:13,TOUCHDOWN,1.680800255
224,2024_01_ARI_BUF,ARI,BUF,BUF,22,1,BUF 22,10,pass,0,short,right,12,,,,0,0,0,0,0,-0.46762533,0.56072849,0.43927151,0.43927151,0.56072849,0,0,0,0,0,0,0,0,0,0,0,0,,,,Touchdown,7:13,TOUCHDOWN,-0.46762533
265,2024_01_ARI_BUF,ARI,BUF,BUF,22,2,BUF 22,10,run,-3,,,,,left,tackle,0,0,0,0,0,-1.281088945,0.545346439,0.454653561,0.454653561,0.545346439,0,0,0,0,1,0,0,0,0,0,0,0,,,-3,Touchdown,7:13,TOUCHDOWN,-1.281088945
287,2024_01_ARI_BUF,ARI,BUF,BUF,25,3,BUF 25,13,run,6,,,,,right,end,0,0,0,0,0,2.377085478,0.498972267,0.501027733,0.501027733,0.498972267,0,0,0,1,0,0,0,0,0,0,0,0,,,6,Touchdown,7:13,TOUCHDOWN,2.377085478
320,2024_01_ARI_BUF,ARI,BUF,BUF,9,1,BUF 9,9,run,4,,,,,left,end,0,0,0,0,0,0.168504898,0.587247968,0.412752032,0.412752032,0.587247968,0,0,0,0,0,0,0,0,0,0,0,0,,,4,Touchdown,7:13,TOUCHDOWN,0.168504898
347,2024_01_ARI_BUF,ARI,BUF,BUF,5,2,BUF 5,5,pass,0,,,,,,,0,0,0,0,0,-0.985447601,0.581441879,0.418558121,0.418558121,0.581441879,0,0,0,0,0,0,0,0,0,0,0,0,,,,Touchdown,7:13,TOUCHDOWN,-0.985447601
381,2024_01_ARI_BUF,ARI,BUF,BUF,5,3,BUF 5,5,pass,5,short,left,5,0,,,0,0,6,0,6,2.704704956,0.566567898,0.433432102,0.433432102,0.566567898,0,0,0,0,0,0,1,1,0,0,0,0,5,5,,Touchdown,7:13,TOUCHDOWN,2.704704956
407,2024_01_ARI_BUF,ARI,BUF,BUF,15,,BUF 15,0,extra_point,0,,,,,,,0,6,7,0,7,0.067573003,0.613047216,0.386952784,0.386952784,0.613047216,0,0,0,0,0,0,0,0,0,0,0,0,,,,Touchdown,7:13,TOUCHDOWN,0.067573003
422,2024_01_ARI_BUF,BUF,ARI,ARI,35,,ARI 35,0,kickoff,0,,,,,,,7,-7,0,7,-7,1.882354891,0.38566035,0.61433965,0.38566035,0.61433965,0,0,0,0,0,0,0,0,0,0,0,0,,,,Turnover,2:23,FUMBLE,1.882354891
457,2024_01_ARI_BUF,BUF,ARI,ARI,45,1,ARI 45,10,run,9,,,,,left,guard,7,-7,0,7,-7,0.648818388,0.434295207,0.565704793,0.434295207,0.565704793,0,0,0,0,0,0,0,0,0,0,0,0,,,9,Turnover,2:23,FUMBLE,0.648818388
479,2024_01_ARI_BUF,BUF,ARI,ARI,36,2,ARI 36,1,run,3,,,,,right,guard,7,-7,0,7,-7,0.039457681,0.464298636,0.535701364,0.464298636,0.535701364,0,0,0,0,0,0,0,0,0,0,0,0,,,3,Turnover,2:23,FUMBLE,0.039457681
503,2024_01_ARI_BUF,BUF,ARI,ARI,33,1,ARI 33,10,pass,14,short,middle,13,1,,,7,-7,0,7,-7,0.913284026,0.451424718,0.548575282,0.451424718,0.548575282,0,0,0,0,0,0,0,0,0,0,0,0,14,14,,Turnover,2:23,FUMBLE,0.913284026
528,2024_01_ARI_BUF,BUF,ARI,ARI,19,1,ARI 19,10,pass,-10,,,,,,,7,-7,0,7,-7,-6.044649657,0.48668161,0.51331839,0.48668161,0.51331839,1,0,0,0,0,1,0,0,0,0,0,1,,,,Turnover,2:23,FUMBLE,-6.044649657
565,2024_01_ARI_BUF,ARI,BUF,ARI,71,1,ARI 29,10,run,4,,,,,left,end,0,7,7,0,7,-0.12720861,0.667060792,0.332939208,0.332939208,0.667060792,0,0,0,0,0,0,0,0,0,0,0,0,,,4,Field goal,5:27,FIELD_GOAL,-0.12720861
587,2024_01_ARI_BUF,ARI,BUF,ARI,67,2,ARI 33,6,pass,2,short,left,-3,5,,,0,7,7,0,7,-0.547627533,0.670467675,0.329532325,0.329532325,0.670467675,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,Field goal,5:27,FIELD_GOAL,-0.547627533
622,2024_01_ARI_BUF,ARI,BUF,ARI,65,3,ARI 35,4,pass,24,short,right,0,24,,,0,7,7,0,7,2.664914552,0.671433151,0.328566849,0.328566849,0.671433151,0,0,0,0,0,0,0,0,0,0,0,0,24,24,,Field goal,5:27,FIELD_GOAL,2.664914552
652,2024_01_ARI_BUF,ARI,BUF,BUF,41,1,BUF 41,10,pass,6,short,left,6,0,,,0,7,7,0,7,0.21352806,0.71387589,0.28612411,0.28612411,0.71387589,0,0,0,0,0,0,0,0,0,0,0,0,6,6,,Field goal,5:27,FIELD_GOAL,0.21352806
677,2024_01_ARI_BUF,ARI,BUF,BUF,35,2,BUF 35,4,pass,7,short,right,-1,8,,,0,7,7,0,7,0.688560766,0.713405013,0.286594987,0.286594987,0.713405013,0,0,0,0,0,0,0,0,0,0,0,0,7,7,,Field goal,5:27,FIELD_GOAL,0.688560766
707,2024_01_ARI_BUF,ARI,BUF,BUF,28,1,BUF 28,10,run,11,,,,,right,end,0,7,7,0,7,0.716792834,0.732915878,0.267084122,0.267084122,0.732915878,0,0,0,0,0,0,0,0,0,0,0,0,,,11,Field goal,5:27,FIELD_GOAL,0.716792834
734,2024_01_ARI_BUF,ARI,BUF,BUF,17,1,BUF 17,10,pass,3,short,middle,3,0,,,0,7,7,0,7,-0.230540832,0.7631194,0.2368806,0.2368806,0.7631194,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,Field goal,5:27,FIELD_GOAL,-0.230540832
759,2024_01_ARI_BUF,ARI,BUF,BUF,14,2,BUF 14,7,run,1,,,,,right,guard,0,7,7,0,7,-0.652270698,0.760436654,0.239563346,0.239563346,0.760436654,0,0,0,0,0,0,0,0,0,0,0,0,,,1,Field goal,5:27,FIELD_GOAL,-0.652270698
781,2024_01_ARI_BUF,ARI,BUF,BUF,13,3,BUF 13,6,pass,2,short,right,1,1,,,0,7,7,0,7,-1.021099164,0.756201386,0.243798614,0.243798614,0.756201386,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,Field goal,5:27,FIELD_GOAL,-1.021099164
809,2024_01_ARI_BUF,ARI,BUF,,,,BUF 11,0,,,,,,,,,0,7,7,0,7,0,0.721677959,0.278322041,0.278322041,0.721677959,,,,,,,,,,,,,,,,Field goal,5:27,FIELD_GOAL,0
823,2024_01_ARI_BUF,ARI,BUF,BUF,11,4,BUF 11,4,field_goal,0,,,,,,,0,7,10,0,10,0.135574413,0.721677959,0.278322041,0.278322041,0.721677959,0,0,0,0,0,0,0,0,0,0,1,0,,,,Field goal,5:27,FIELD_GOAL,0.135574413
847,2024_01_ARI_BUF,BUF,ARI,ARI,35,,ARI 35,0,kickoff,0,,,,,,,10,-10,0,10,-10,0.311864278,0.280494392,0.719505608,0.280494392,0.719505608,0,0,0,0,0,0,0,0,0,0,0,0,,,,Field goal,5:10,FIELD_GOAL,0.311864278
868,2024_01_ARI_BUF,BUF,ARI,BUF,70,1,BUF 30,10,no_play,0,,,,,,,10,-10,0,10,-10,0.439983619,0.288022727,0.711977273,0.288022727,0.711977273,0,0,0,1,0,0,0,0,0,0,0,0,,,,Field goal,5:10,FIELD_GOAL,0.439983619
902,2024_01_ARI_BUF,BUF,ARI,BUF,64,1,BUF 36,10,run,15,,,,,right,guard,10,-10,0,10,-10,0.816008603,0.299830496,0.700169504,0.299830496,0.700169504,0,0,0,0,0,0,0,0,0,0,0,0,,,15,Field goal,5:10,FIELD_GOAL,0.816008603
924,2024_01_ARI_BUF,BUF,ARI,ARI,49,1,ARI 49,10,run,5,,,,,right,guard,10,-10,0,10,-10,-0.022938924,0.311178744,0.688821256,0.311178744,0.688821256,0,0,0,0,0,0,0,0,0,0,0,0,,,5,Field goal,5:10,FIELD_GOAL,-0.022938924
946,2024_01_ARI_BUF,BUF,ARI,ARI,44,2,ARI 44,5,pass,23,short,middle,6,17,,,10,-10,0,10,-10,1.870110551,0.308513284,0.691486716,0.308513284,0.691486716,0,0,0,0,0,0,0,0,0,0,0,0,23,23,,Field goal,5:10,FIELD_GOAL,1.870110551
971,2024_01_ARI_BUF,BUF,ARI,ARI,21,1,ARI 21,10,run,9,,,,,left,tackle,10,-10,0,10,-10,0.697903182,0.365947634,0.634052366,0.365947634,0.634052366,0,0,0,0,0,0,0,0,0,0,0,0,,,9,Field goal,5:10,FIELD_GOAL,0.697903182
993,2024_01_ARI_BUF,BUF,ARI,ARI,12,2,ARI 12,1,run,4,,,,,right,guard,10,-10,0,10,-10,0.063546137,0.388247162,0.611752838,0.388247162,0.611752838,0,0,0,0,0,0,0,0,0,0,0,0,,,4,Field goal,5:10,FIELD_GOAL,0.063546137
